Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
5CFZCBRN,journalArticle,2018,"Antonetti, P.; Baines, P.; Jain, S.",The persuasiveness of guilt appeals over time: pathways to delayed compliance,Journal of Business Research,,1482963,10.1016/j.jbusres.2018.03.030,https://linkinghub.elsevier.com/retrieve/pii/S0148296318301589,,2018,2025-08-28 09:10:55,2025-08-28 09:10:55,,14-25,,,90,,Journal of Business Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIKSFTVA,journalArticle,2021,"Behera, R. K.; Bala, P. K.; Ray, A.",Cognitive chatbot for personalised contextual customer service: behind the scene and beyond the hype,Information Systems Frontiers,,"1387-3326, 1572-9419",10.1007/s10796-021-10168-y,https://link.springer.com/10.1007/s10796-021-10168-y,,2021,2025-08-28 09:10:55,2025-08-28 09:10:55,,,,,,,Information Systems Frontiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG7RFVXT,journalArticle,2022,"De Ridder, D.; Kroese, F.; Van Gestel, L.",Nudgeability: mapping conditions of susceptibility to nudge influence,Perspectives on Psychological Science,,"1745-6916, 1745-6924",10.1177/1745691621995183,http://journals.sagepub.com/doi/10.1177/1745691621995183,,2022,2025-08-28 09:10:55,2025-08-28 09:10:55,,346-359,,2,17,,Perspectives on Psychological Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANTRUI3,journalArticle,2018,"Ferzan, K. K.",Consent and coercion,Arizona State Law Journal,,,,https://heinonline.org/HOL/LandingPage?handle=hein.journals/arzjl50&div=40&id=&page=,,2018,2025-08-28 09:10:55,2025-08-28 09:10:55,,951-1007,,4,50,,Arizona State Law Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8QDC9ZDP,journalArticle,2023,"Gillath, O.; Abumusab, S.; Ai, T.; Branicky, M. S.; Davison, R. B.; Rulo, M.; Symons, J.; Thomas, G.",How deep is AI’s love? Understanding relational AI,Behavioral and Brain Sciences,,"0140-525X, 1469-1825",10.1017/S0140525X22001704,https://www.cambridge.org/core/journals/behavioral-and-brain-sciences/article/abs/how-deep-is-ais-love-understanding-relational-ai/77364078496FCE70F71C7A9F293AC322,,2023,2025-08-28 09:10:55,2025-08-28 09:10:55,,,,,46,,Behavioral and Brain Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7KLAR87,journalArticle,2019,"Go, E.; Sundar, S. S.","Humanizing chatbots: the effects of visual, identity and conversational cues on humanness perceptions",Computers in Human Behavior,,7475632,10.1016/j.chb.2019.01.020,https://linkinghub.elsevier.com/retrieve/pii/S0747563219300329,,2019,2025-08-28 09:10:55,2025-08-28 09:10:55,,304-316,,,97,,Computers in Human Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3IEFIXQ,journalArticle,2022,"Graves, C. G.; Spencer, L. G.",Rethinking the rhetorical epistemics of gaslighting,Communication Theory,,"1050-3293, 1468-2885",10.1093/ct/qtab013,https://academic.oup.com/ct/article/32/1/48/6358567,,2022,2025-08-28 09:10:55,2025-08-28 09:10:55,,48-67,,1,32,,Communication Theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBAS4KBD,journalArticle,2018,"Gwon, S. H.; Jeong, S.",Concept analysis of impressionability among adolescents and young adults,Nursing Open,,2054-1058,10.1002/nop2.170,https://onlinelibrary.wiley.com/doi/10.1002/nop2.170,,2018,2025-08-28 09:10:55,2025-08-28 09:10:55,,601-610,,4,5,,Nursing Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BZH369TT,journalArticle,2019,"Julmi, C.",When rational decision-making becomes irrational: a critical assessment and re-conceptualization of intuition effectiveness,Business Research,,"2198-3402, 2198-2627",10.1007/s40685-019-0096-4,https://link.springer.com/10.1007/s40685-019-0096-4,,2019,2025-08-28 09:10:55,2025-08-28 09:10:55,,291-314,,1,12,,Business Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVI5FTCZ,journalArticle,2018,"Kišiček, G.",Persuasive power of prosodic features,Argumentation and Advocacy,,"1051-1431, 2576-8476",10.1080/10511431.2019.1525003,https://www.tandfonline.com/doi/full/10.1080/10511431.2019.1525003,,2018,2025-08-28 09:10:55,2025-08-28 09:10:55,,345-350,,4,54,,Argumentation and Advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFS8SXDU,journalArticle,2022,"Klenk, M.","(Online) manipulation: sometimes hidden, always careless",Review of Social Economy,,"0034-6764, 1470-1162",10.1080/00346764.2021.1894350,https://www.tandfonline.com/doi/full/10.1080/00346764.2021.1894350,,2022,2025-08-28 09:10:55,2025-08-28 09:10:55,,85-105,,1,80,,Review of Social Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6XI555R4,conferencePaper,2019,"Leong, B.; Selinger, E.",Robot eyes wide shut: understanding dishonest anthropomorphism,,978-1-4503-6125-5,,10.1145/3287560.3287591,https://dl.acm.org/doi/10.1145/3287560.3287591,,2019,2025-08-28 09:10:55,2025-08-28 09:10:55,,299-308,,,,,,,,,,,ACM,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Proceedings of the Conference on Fairness, Accountability, and Transparency",,,,,,,,,,,,,,,
NPBUQXTI,journalArticle,2019,"Li, X.; Hsee, C. K.","Being ""rational"" is not always rational: encouraging people to be rational leads to hedonically suboptimal decisions",Journal of the Association of Consumer Research,,,,https://www.journals.uchicago.edu/doi/abs/10.1086/701966,,2019,2025-08-28 09:10:55,2025-08-28 09:10:55,,115-124,,2,4,,Journal of the Association of Consumer Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5Q2WNSE,conferencePaper,2018,"Lucas, G. M.; Boberg, J.; Traum, D.; Artstein, R.; Gratch, J.; Gainer, A.; Johnson, E.; Leuski, A.; Nakano, M.",Getting to know each other: the role of social dialogue in recovery from errors in social robots,,978-1-4503-4953-6,,10.1145/3171221.3171258,https://dl.acm.org/doi/10.1145/3171221.3171258,,2018,2025-08-28 09:10:55,2025-08-28 09:10:55,,344-351,,,,,,,,,,,ACM,Chicago IL USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 2018 ACM/IEEE International Conference on Human-Robot Interaction,,,,,,,,,,,,,,,
IDC73G6D,journalArticle,2020,"Mao, Y.; Akyol, E.",On inference of network topology and confirmation bias in cyber-social networks,IEEE Transactions on Signal and Information Processing over Networks,,"2373-776X, 2373-7778",10.1109/TSIPN.2020.3015283,https://ieeexplore.ieee.org/document/9187724/,,2020,2025-08-28 09:10:55,2025-08-28 09:10:55,,633-644,,,6,,IEEE Transactions on Signal and Information Processing over Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
