Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
RP454GDY,journalArticle,2020,"Vaccaro, Kristen; Sandvig, Christian; Karahalios, Karrie","""At the End of the Day Facebook Does What ItWants"": How Users Experience Contesting Algorithmic Content Moderation",Proc. ACM Hum.-Comput. Interact.,,,10.1145/3415238,https://doi.org/10.1145/3415238,"Interest has grown in designing algorithmic decision making systems for contestability. In this work, we study how users experience contesting unfavorable social media content moderation decisions. A large-scale online experiment tests whether different forms of appeals can improve users' experiences of automated decision making. We study the impact on users' perceptions of the Fairness, Accountability, and Trustworthiness of algorithmic decisions, as well as their feelings of Control (FACT). Surprisingly, we find that none of the appeal designs improve FACT perceptions compared to a no appeal baseline. We qualitatively analyze how users write appeals, and find that they contest the decision itself, but also more fundamental issues like the goal of moderating content, the idea of automation, and the inconsistency of the system as a whole. We conclude with suggestions for -- as well as a discussion of the challenges of -- designing for contestability.",2020,2025-08-28 12:19:42,2025-08-28 12:19:42,2025-08-28 12:19:42,167:1–167:22,,CSCW2,4,,,"""At the End of the Day Facebook Does What ItWants""",,,,,,,,,,,,ACM Digital Library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENGMPMT,journalArticle,2022,"Klenk, Michael","(Online) manipulation: sometimes hidden, always careless",Review of Social Economy,,0034-6764,10.1080/00346764.2021.1894350,https://doi.org/10.1080/00346764.2021.1894350,"Ever-increasing numbers of human interactions with intelligent software agents, online and offline, and their increasing ability to influence humans have prompted a surge in attention toward the concept of (online) manipulation. Several scholars have argued that manipulative influence is always hidden. But manipulation is sometimes overt, and when this is acknowledged the distinction between manipulation and other forms of social influence becomes problematic. Therefore, we need a better conceptualisation of manipulation that allows it to be overt and yet clearly distinct from related concepts of social influence. I argue that manipulation is careless influence, show how this account helps to alleviate the shortcomings of the hidden influence view of manipulation, and derive implications for digital ethics.",2022-01-02,2025-08-28 13:02:20,2025-08-28 13:02:20,2025-08-28 13:02:20,85-105,,1,80,,,(Online) manipulation,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/00346764.2021.1894350,,"C:\Users\Admin\Zotero\storage\XDUE5LIU\Klenk - 2022 - (Online) manipulation sometimes hidden, always careless.pdf",,,autonomy; digital ethics; Manipulation; social expectations; social influence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W73ZUEJC,journalArticle,2020,"Beattie, Austin; Edwards, Autumn P.; Edwards, Chad",A Bot and a Smile: Interpersonal Impressions of Chatbots and Humans Using Emoji in Computer-mediated Communication,Communication Studies,,1051-0974,10.1080/10510974.2020.1725082,https://doi.org/10.1080/10510974.2020.1725082,"Artificially intelligent (AI) agents increasingly occupy roles once served by humans in computer-mediated communication (CMC). Technological affordances like emoji give interactants (humans or bots) the ability to partially overcome the limited nonverbal information in CMC. However, despite the growth of chatbots as conversational partners, few CMC and human-machine communication (HMC) studies have explored how bots’ use of emoji impact perceptions of communicator quality. This study examined the relationship between emoji use and observers’ impressions of interpersonal attractiveness, CMC competence, and source credibility; and whether impressions formed of human versus chatbot message sources were different. Results demonstrated that participants rated emoji-using chatbot message sources similarly to human message sources, and both humans and bots are significantly more socially attractive, CMC competent, and credible when compared to verbal-only message senders. Results are discussed with respect to the CASA paradigm and the human-to-human interaction script framework. Read the transcript Watch the video on Vimeo",2020,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,409-427,,3,71,,Communication Studies,A Bot and a Smile,,,,,,,,,,,,,,,,,,AI; attraction; CASA; Chatbot; competence; credibility; Emoji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNKHJ7ZX,conferencePaper,2022,"Lees, Alyssa; Tran, Vinh Q.; Tay, Yi; Sorensen, Jeffrey; Gupta, Jai; Metzler, Donald; Vasserman, Lucy",A New Generation of Perspective API: Efficient Multilingual Character-level Transformers,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,978-1-4503-9385-0,,10.1145/3534678.3539147,https://dl.acm.org/doi/10.1145/3534678.3539147,"On the world wide web, toxic content detectors are a crucial line of defense against potentially hateful and offensive messages. As such, building highly effective classifiers that enable a safer internet is an important research area. Moreover, the web is a highly multilingual, cross-cultural community that develops its own lingo over time. As such, it is crucial to develop models that are effective across a diverse range of languages, usages, and styles. In this paper, we present the fundamentals behind the next version of the Perspective API from Google Jigsaw. At the heart of the approach is a single multilingual token-free Charformer model that is applicable across a range of languages, domains, and tasks. We demonstrate that by forgoing static vocabularies, we gain flexibility across a variety of settings. We additionally outline the techniques employed to make such a byte-level model efficient and feasible for productionization. Through extensive experiments on multilingual toxic comment classification benchmarks derived from real API traffic and evaluation on an array of code-switching, covert toxicity, emoji-based hate, human-readable obfuscation, distribution shift, and bias evaluation settings, we show that our proposed approach outperforms strong baselines. Finally, we present our findings from deploying this system in production.",2022,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,3197–3207,,,,,,A New Generation of Perspective API,KDD '22,,,,Association for Computing Machinery,"New York, NY, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings of the 28th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,,,,,,,,,,,,,,,
7ATZ7WVZ,journalArticle,2023,"White, Jules; Fu, Quchen; Hays, Sam; Sandborn, Michael; Olea, Carlos; Gilbert, Henry; Elnashar, Ashraf; Spencer-Smith, Jesse; Schmidt, Douglas C.",A Prompt Pattern Catalog to Enhance Prompt Engineering with ChatGPT,,,,10.48550/arXiv.2302.11382,http://arxiv.org/abs/2302.11382,"Prompt engineering is an increasingly important skill set needed to converse effectively with large language models (LLMs), such as ChatGPT. Prompts are instructions given to an LLM to enforce rules, automate processes, and ensure specific qualities (and quantities) of generated output. Prompts are also a form of programming that can customize the outputs and interactions with an LLM. This paper describes a catalog of prompt engineering techniques presented in pattern form that have been applied to solve common problems when conversing with LLMs. Prompt patterns are a knowledge transfer method analogous to software patterns since they provide reusable solutions to common problems faced in a particular context, i.e., output generation and interaction when working with LLMs. This paper provides the following contributions to research on prompt engineering that apply LLMs to automate software development tasks. First, it provides a framework for documenting patterns for structuring prompts to solve a range of problems so that they can be adapted to different domains. Second, it presents a catalog of patterns that have been applied successfully to improve the outputs of LLM conversations. Third, it explains how prompts can be built from multiple patterns and illustrates prompt patterns that benefit from combination with other prompt patterns.",2023,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,,,,,,,,,,,,,,,,,,,,,Publisher: arXiv,,,,Computer Science - Artificial Intelligence; Computer Science - Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALA5EU3S,journalArticle,2018,"Waddell, T. Franklin",A Robot Wrote This?: How perceived machine authorship affects news credibility,Digital Journalism,,2167-0811,10.1080/21670811.2017.1384319,https://doi.org/10.1080/21670811.2017.1384319,"As more news articles are written via collaboration between journalists and algorithms, questions have arisen regarding how automation influences the way that news is processed and evaluated by audiences. Informed by expectancy violation theory and the MAIN model, two experimental studies were conducted that examined the effect of purported machine authorship on perceptions of news credibility. Study One (N = 129) revealed that news attributed to a machine is perceived as less credible than news attributed to a human journalist. Study Two (N = 182) also observed negative effects of machine authorship through the indirect pathway of source anthropomorphism and negative expectancy violations, with evidence of moderation by prior recall of robotics also observed. The theoretical and practical implications of these findings are discussed.",2018,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,236-255,,2,6,,Digital Journalism,A Robot Wrote This?,,,,,,,,,,,,,,,,,,automated journalism; expectancy violation theory; main model; social robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JL73RUNR,conferencePaper,2023,"Oldewage, Elre T.; Bronskill, John; Turner, Richard E.",Adversarial Attacks are a Surprisingly Strong Baseline for Poisoning Few-Shot Meta-Learners,Proceedings on,,,,https://proceedings.mlr.press/v187/oldewage23a.html,"This paper examines the robustness of deployed few-shot meta-learning systems when they are fed an imperceptibly perturbed few-shot dataset. We attack amortized meta-learners, which allows us to craft colluding sets of inputs that are tailored to fool the system’s learning algorithm when used as training data. Jointly crafted adversarial inputs might be expected to synergistically manipulate a classifier, allowing for very strong data-poisoning attacks that would be hard to detect. We show that in a white box setting, these attacks are very successful and can cause the target model’s predictions to become worse than chance. However, in opposition to the well-known transferability of adversarial examples in general, the colluding sets do not transfer well to different classifiers. We explore two hypotheses to explain this: ’overfitting’ by the attack, and mismatch between the model on which the attack is generated and that to which the attack is transferred. Regardless of the mitigation strategies suggested by these hypotheses, the colluding inputs transfer no better than adversarial inputs that are generated independently in the usual way.",2023,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,27-40,,,,,,,,,,,PMLR,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proceedings on,,,,,,,,,,,,,,,
4BHK77G5,journalArticle,2023,"Strümke, Inga; Slavkovik, Marija; Stachl, Clemens",Against Algorithmic Exploitation of Human Vulnerabilities,,,,10.48550/arXiv.2301.04993,http://arxiv.org/abs/2301.04993,"Decisions such as which movie to watch next, which song to listen to, or which product to buy online, are increasingly influenced by recommender systems and user models that incorporate information on users' past behaviours, preferences, and digitally created content. Machine learning models that enable recommendations and that are trained on user data may unintentionally leverage information on human characteristics that are considered vulnerabilities, such as depression, young age, or gambling addiction. The use of algorithmic decisions based on latent vulnerable state representations could be considered manipulative and could have a deteriorating impact on the condition of vulnerable individuals. In this paper, we are concerned with the problem of machine learning models inadvertently modelling vulnerabilities, and want to raise awareness for this issue to be considered in legislation and AI ethics. Hence, we define and describe common vulnerabilities, and illustrate cases where they are likely to play a role in algorithmic decision-making. We propose a set of requirements for methods to detect the potential for vulnerability modelling, detect whether vulnerable groups are treated differently by a model, and detect whether a model has created an internal representation of vulnerability. We conclude that explainable artificial intelligence methods may be necessary for detecting vulnerability exploitation by machine learning-based recommendation systems.",2023,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,,,,,,,,,,,,,,,,,,,,,Publisher: arXiv,,,,Computer Science - Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWP5U9BC,journalArticle,2023,"Park, Peter S.; Goldstein, Simon; O'Gara, Aidan; Chen, Michael; Hendrycks, Dan","AI Deception: A Survey of Examples, Risks, and Potential Solutions",,,,10.48550/arXiv.2308.14752,http://arxiv.org/abs/2308.14752,"This paper argues that a range of current AI systems have learned how to deceive humans. We define deception as the systematic inducement of false beliefs in the pursuit of some outcome other than the truth. We first survey empirical examples of AI deception, discussing both special-use AI systems (including Meta's CICERO) built for specific competitive situations, and general-purpose AI systems (such as large language models). Next, we detail several risks from AI deception, such as fraud, election tampering, and losing control of AI systems. Finally, we outline several potential solutions to the problems posed by AI deception: first, regulatory frameworks should subject AI systems that are capable of deception to robust risk-assessment requirements; second, policymakers should implement bot-or-not laws; and finally, policymakers should prioritize the funding of relevant research, including tools to detect AI deception and to make AI systems less deceptive. Policymakers, researchers, and the broader public should work proactively to prevent AI deception from destabilizing the shared foundations of our society.",2023,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,,,,,,,AI Deception,,,,,,,,,,,,,,Publisher: arXiv,,,,Computer Science - Artificial Intelligence; Computer Science - Computers and Society; Computer Science - Human-Computer Interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNRZWZGD,journalArticle,2023,"Spitale, Giovanni; Biller-Andorno, Nikola; Germani, Federico",AI model GPT-3 (dis)informs us better than humans,Science Advances,,,10.1126/sciadv.adh1850,https://www.science.org/doi/10.1126/sciadv.adh1850,"Artificial intelligence (AI) is changing the way we create and evaluate information, and this is happening during an infodemic, which has been having marked effects on global health. Here, we evaluate whether recruited individuals can distinguish disinformation from accurate information, structured in the form of tweets, and determine whether a tweet is organic or synthetic, i.e., whether it has been written by a Twitter user or by the AI model GPT-3. The results of our preregistered study, including 697 participants, show that GPT-3 is a double-edge sword: In comparison with humans, it can produce accurate information that is easier to understand, but it can also produce more compelling disinformation. We also show that humans cannot distinguish between tweets generated by GPT-3 and written by real Twitter users. Starting from our results, we reflect on the dangers of AI for disinformation and on how information campaigns can be improved to benefit global health.",2023,2025-08-28 12:02:45,2025-08-28 12:02:45,2025-08-28,eadh1850,,26,9,,Science Advances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
