Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2L9NFS8Z,conferencePaper,2023,"Al Anaissy, Caren; Vesic, Srdjan; Nevejans, Nathalie",Towards Ethical Argumentative Persuasive Chatbots,"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XVI: 27th International Workshop, COINE 2023, London, UK, May 29, 2023, Revised Selected Papers",978-3-031-49132-0,,10.1007/978-3-031-49133-7_8,https://doi.org/10.1007/978-3-031-49133-7_8,"Argumentative persuasive technologies are technologies that use argumentation in order to persuade the persuadee to believe in something or not, which can later lead the persuadee to perform an action or not. The use of such tools opens numerous ethical considerations. In this paper, we survey the literature on persuasion that might be useful for argumentative persuasive chatbots, we cover the existing legal framework and ethical principles and we critically analyze the new proposal for a regulation on artificial intelligence of the European Commission. We also show how to use argumentation to enhance explainability and transparency of the persuasion systems. We propose to show the graphical representation of the arguments used during the persuasion to the user at the end of the dialogue, containing the relations between the arguments (attacks, supports), their origin (source), who uttered them (i.e. the machine or the human participant) and the persuasive methods employed. Our approach has several benefits. Namely, it makes the system more transparent and enhances the human understanding of the system, which is a benefit per se. Furthermore, the fact that the system is transparent increases the trust of the user, which (apart from being one of the goals of AI in general) can increase the chance that the user is persuaded by the system. Finally, the user can give a feedback on the presented arguments (e.g. how much they believe the arguments are ethical), which can be later used to improve the persuasion system.",2023,2025-08-27 09:20:19,2025-08-27 09:20:19,2025-08-27,141–160,,,,,,,,,,,Springer-Verlag,"Berlin, Heidelberg",,,,,,ACM Digital Library,,,,C:\Users\Admin\Zotero\storage\6MZYYVVX\Al Anaissy et al. - 2023 - Towards Ethical Argumentative Persuasive Chatbots.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EWW5993V,journalArticle,2023,"Augello, Agnese; Città, Giuseppe; Gentile, Manuel; Lieto, Antonio",A Storytelling Robot Managing Persuasive and Ethical Stances via ACT-R: An Exploratory Study,International Journal of Social Robotics,,1875-4805,10.1007/s12369-021-00847-w,https://link-springer-com.ezproxy.mpib-berlin.mpg.de/article/10.1007/s12369-021-00847-w,"We present a storytelling robot, controlled via the ACT-R cognitive architecture, able to adopt different persuasive techniques and ethical stances while conversing about some topics concerning COVID-19. The main contribution of the paper consists in the proposal of a needs-driven model that guides and evaluates, during the dialogue, the use (if any) of persuasive techniques available in the agent procedural memory. The portfolio of persuasive techniques tested in such a model ranges from the use of storytelling to framing techniques and rhetorical-based arguments. To the best of our knowledge, this represents the first attempt of building a persuasive agent able to integrate a mix of explicitly grounded cognitive assumptions about dialogue management, storytelling and persuasive techniques as well as ethical attitudes. The paper presents the results of an exploratory evaluation of the system on 63 participants.",2023-12-01,2025-08-27 09:20:28,2025-08-27 09:20:28,2025-08-27 09:20:28,2115-2131,,12,15,,Int J of Soc Robotics,A Storytelling Robot Managing Persuasive and Ethical Stances via ACT-R,,,,,,,en,2021 The Author(s),,,,link-springer-com.ezproxy.mpib-berlin.mpg.de,,Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Netherlands,,C:\Users\Admin\Zotero\storage\GBXX2S79\Augello et al. - 2023 - A Storytelling Robot Managing Persuasive and Ethical Stances via ACT-R An Exploratory Study.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLTCU83S,journalArticle,2020,"Zhang, Jingwen; Oh, Yoo Jung; Lange, Patrick; Yu, Zhou; Fukuoka, Yoshimi",Artificial Intelligence Chatbot Behavior Change Model for Designing Artificial Intelligence Chatbots to Promote Physical Activity and a Healthy Diet: Viewpoint,Journal of Medical Internet Research,,,10.2196/22845,https://www.jmir.org/2020/9/e22845,"Background: Chatbots empowered by artificial intelligence (AI) can increasingly engage in natural conversations and build relationships with users. Applying AI chatbots to lifestyle modification programs is one of the promising areas to develop cost-effective and feasible behavior interventions to promote physical activity and a healthy diet. Objective: The purposes of this perspective paper are to present a brief literature review of chatbot use in promoting physical activity and a healthy diet, describe the AI chatbot behavior change model our research team developed based on extensive interdisciplinary research, and discuss ethical principles and considerations. Methods: We conducted a preliminary search of studies reporting chatbots for improving physical activity and/or diet in four databases in July 2020. We summarized the characteristics of the chatbot studies and reviewed recent developments in human-AI communication research and innovations in natural language processing. Based on the identified gaps and opportunities, as well as our own clinical and research experience and findings, we propose an AI chatbot behavior change model. Results: Our review found a lack of understanding around theoretical guidance and practical recommendations on designing AI chatbots for lifestyle modification programs. The proposed AI chatbot behavior change model consists of the following four components to provide such guidance: (1) designing chatbot characteristics and understanding user background; (2) building relational capacity; (3) building persuasive conversational capacity; and (4) evaluating mechanisms and outcomes. The rationale and evidence supporting the design and evaluation choices for this model are presented in this paper. Conclusions: As AI chatbots become increasingly integrated into various digital communications, our proposed theoretical framework is the first step to conceptualize the scope of utilization in health behavior change domains and to synthesize all possible dimensions of chatbot features to inform intervention design and evaluation. There is a need for more interdisciplinary work to continue developing AI techniques to improve a chatbot’s relational and persuasive capacities to change physical activity and diet behaviors with strong ethical principles.",2020-09-30,2025-08-27 09:20:43,2025-08-27 09:20:43,2025-08-27 09:20:43,e22845,,9,22,,,Artificial Intelligence Chatbot Behavior Change Model for Designing Artificial Intelligence Chatbots to Promote Physical Activity and a Healthy Diet,,,,,,,EN,,,,,www.jmir.org,,"Company: Journal of Medical Internet Research Distributor: Journal of Medical Internet Research Institution: Journal of Medical Internet Research Label: Journal of Medical Internet Research Publisher: JMIR Publications Inc., Toronto, Canada",,C:\Users\Admin\Zotero\storage\GT7MYJXB\Zhang et al. - 2020 - Artificial Intelligence Chatbot Behavior Change Model for Designing Artificial Intelligence Chatbots.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTDCKWYR,journalArticle,2018,"Burr, Christopher; Cristianini, Nello; Ladyman, James",An Analysis of the Interaction Between Intelligent Software Agents and Human Users,Minds and Machines,,1572-8641,10.1007/s11023-018-9479-0,https://link-springer-com.ezproxy.mpib-berlin.mpg.de/article/10.1007/s11023-018-9479-0,"Interactions between an intelligent software agent (ISA) and a human user are ubiquitous in everyday situations such as access to information, entertainment, and purchases. In such interactions, the ISA mediates the user’s access to the content, or controls some other aspect of the user experience, and is not designed to be neutral about outcomes of user choices. Like human users, ISAs are driven by goals, make autonomous decisions, and can learn from experience. Using ideas from bounded rationality (and deploying concepts from artificial intelligence, behavioural economics, control theory, and game theory), we frame these interactions as instances of an ISA whose reward depends on actions performed by the user. Such agents benefit by steering the user’s behaviour towards outcomes that maximise the ISA’s utility, which may or may not be aligned with that of the user. Video games, news recommendation aggregation engines, and fitness trackers can all be instances of this general case. Our analysis facilitates distinguishing various subcases of interaction (i.e. deception, coercion, trading, and nudging), as well as second-order effects that might include the possibility for adaptive interfaces to induce behavioural addiction, and/or change in user belief. We present these types of interaction within a conceptual framework, and review current examples of persuasive technologies and the issues that arise from their use. We argue that the nature of the feedback commonly used by learning agents to update their models and subsequent decisions could steer the behaviour of human users away from what benefits them, and in a direction that can undermine autonomy and cause further disparity between actions and goals as exemplified by addictive and compulsive behaviour. We discuss some of the ethical, social and legal implications of this technology and argue that it can sometimes exploit and reinforce weaknesses in human beings.",2018-12-01,2025-08-27 09:20:55,2025-08-27 09:20:55,2025-08-27 09:20:55,735-774,,4,28,,Minds & Machines,,,,,,,,en,2018 The Author(s),,,,link-springer-com.ezproxy.mpib-berlin.mpg.de,,Company: Springer Distributor: Springer Institution: Springer Label: Springer Publisher: Springer Netherlands,,C:\Users\Admin\Zotero\storage\ZMNYW52S\Burr et al. - 2018 - An Analysis of the Interaction Between Intelligent Software Agents and Human Users.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDEZ4CI4,webpage,2023,"Anderson, S.",Coercion,,,,,https://plato.stanford.edu/archives/spr2023/entries/coercion/,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FU48ZCAY,webpage,,Anima,Home page,,,,,https://myanima.ai,,,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCIN8HPA,webpage,2023,Anthropic,Acceptable use policy: version 1.4,,,,,https://console.anthropic.com/legal/aup,,2023,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M93MRYAZ,journalArticle,2018,"Antonetti, P.; Baines, P.; Jain, S.",The persuasiveness of guilt appeals over time: pathways to delayed compliance,Journal of Business Research,,1482963,10.1016/j.jbusres.2018.03.030,https://linkinghub.elsevier.com/retrieve/pii/S0148296318301589,,2018,2025-08-27 09:52:00,2025-08-27 09:52:00,,14-25,,,90,,Journal of Business Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68S7M7HJ,webpage,2020,"Barnes, B.; Christiano, P.",Writeup: progress on AI safety via debate,,,,,https://www.alignmentforum.org/posts/Br4xDbYu4Frwrb64a/writeup-progress-on-a i-safety-via-debate-1,,2020,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYYVJ5GQ,journalArticle,2021,"Behera, R. K.; Bala, P. K.; Ray, A.",Cognitive chatbot for personalised contextual customer service: behind the scene and beyond the hype,Information Systems Frontiers,,"1387-3326, 1572-9419",10.1007/s10796-021-10168-y,https://link.springer.com/10.1007/s10796-021-10168-y,,2021,2025-08-27 09:52:00,2025-08-27 09:52:00,,,,,,,Information Systems Frontiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
