covidence_number,final_decision,inclusion_criteria_evaluation.llm_ic_1_population.reasoning,inclusion_criteria_evaluation.llm_ic_1_population.decision,inclusion_criteria_evaluation.llm_ic_2_intervention.reasoning,inclusion_criteria_evaluation.llm_ic_2_intervention.decision,inclusion_criteria_evaluation.llm_ic_3_technology.reasoning,inclusion_criteria_evaluation.llm_ic_3_technology.decision,inclusion_criteria_evaluation.llm_ic_4_study_type.reasoning,inclusion_criteria_evaluation.llm_ic_4_study_type.decision,exclusion_criteria_evaluation.llm_ec_1_domain.reasoning,exclusion_criteria_evaluation.llm_ec_1_domain.decision
#3922,Exclude,"The study involves human participants, specifically a panel of Stroke Editorial Board members who rated essays for quality and persuasiveness.",Yes,"The study investigates the persuasiveness of essays generated by LLMs, which is a deliberate attempt to shape attitudes or beliefs, but it does not directly aim to change behaviors or reinforce specific beliefs through messages. Instead, it measures perceptions of quality and authorship.",No,"The persuasive messages (essays) are delivered by LLMs, which aligns with the criterion of using generative AI for delivering persuasive messages.",Yes,"The article reports on an empirical study, specifically a competitive essay contest, which is an observational study design reporting on primary data.",Yes,"The primary persuasive goal of the study is not commercial, as it focuses on the ability of LLMs to generate persuasive scientific essays in the context of stroke care and outcomes research, not marketing or advertising.",No
#3923,Include,"The study involves human participants, specifically US respondents, and reports on data collected from them through a survey experiment.",Yes,"The study investigates a deliberate attempt to persuade using messages, in this case, news articles and propaganda generated by GPT-3, aiming to shape attitudes or beliefs.",Yes,"The persuasive messages are delivered by an LLM, specifically GPT-3 davinci, which is a form of generative AI used to generate propaganda content.",Yes,"The article is an empirical study, specifically a preregistered survey experiment, reporting on primary data collected from the participants.",Yes,"The primary persuasive goal of the study is not commercial, as it focuses on the persuasiveness of AI-generated propaganda rather than marketing, advertising, or increasing sales.",No
#3924,Exclude,"The study does not explicitly report on data collected from human participants, but rather focuses on the development and evaluation of a multimodal sentiment analysis framework.",No,"The study does not investigate a deliberate attempt to persuade using messages, but rather aims to analyze and understand sentiments in long-form narratives.",No,"The study does involve the use of large language models (LLMs) for multimodal sentiment analysis, which aligns with the inclusion criterion.",Yes,"The article appears to be an empirical study reporting on primary data, as it introduces a novel method and evaluates its performance using a dataset and benchmark.",Yes,"The study's primary persuasive goal is not commercial, as it focuses on analyzing sentiments in film narratives and contributing to the field of Digital Humanities.",No
#3925,Include,"The study involves human participants, as indicated by the mention of '3,978' participants in the abstract, and reports on data collected from them.",Yes,"The study investigates the persuasive effect of fact-checking, which is a deliberate attempt to shape or change attitudes and beliefs, thereby meeting the intervention criterion.",Yes,"The persuasive messages (fact-checks) are delivered with the involvement of AI, specifically in cases where AI fully generates the fact-check or automatically retrieves human fact-checks, meeting the technology criterion.",Yes,"The article is an empirical study, as it reports on primary data collected from three online experiments, thus fulfilling the study type criterion.",Yes,"The primary persuasive goal of the study is not commercial, as it focuses on the effect of fact-checking and AI involvement in increasing truth discernment, rather than marketing or advertising.",No
#3926,Include,"The study involves human participants as it examines the effectiveness of personalized political ads on individuals based on their personality traits, indicating that data was collected from human subjects.",Yes,"The study investigates a deliberate attempt to persuade individuals through personalized political ads, which is a clear intent to shape or change attitudes or beliefs.",Yes,"The persuasive messages are delivered using generative AI tools, such as those involved in creating a 'manipulation machine' for scaling microtargeting efforts, which aligns with the use of LLMs or similar technologies for persuasion.",Yes,"The article presents empirical studies (four studies) reporting on primary data collected from experiments, which fits the criteria of being an empirical study.",Yes,"Although the study involves persuasion, its primary goal is political rather than commercial, focusing on the potential risks and ethical concerns of using AI in political microtargeting rather than increasing sales or marketing.",No
#3927,Include,"The study involves human participants (41 individuals) and reports on data collected from them, specifically their interactions with an LLM in a price negotiation scenario.",Yes,"The study investigates a deliberate attempt to persuade or influence outcomes (negotiation outcomes) using messages, but it's more focused on the interaction dynamics and strategies rather than a traditional persuasive intent to shape attitudes, beliefs, or behaviors. However, the context of negotiation implies an intent to influence, thus it can be considered as meeting the criterion.",Yes,"The persuasive messages or interactions are delivered by an LLM, which is used to engage in price negotiations with human participants, fitting the criterion of using an LLM for delivering persuasive messages.",Yes,"The article is an empirical study, specifically a user study, reporting on primary data collected from the interactions between humans and an LLM, thus meeting the study type criterion.",Yes,"Although the study involves price negotiations, which could be seen as having a commercial aspect, the primary goal of the study is to explore how people interact with LLMs, investigate differences in negotiation outcomes and strategies, and highlight shortcomings of LLMs, rather than promoting a commercial product or service. Thus, it does not meet the exclusion criterion for being primarily commercial in nature.",No
#3928,Include,"The study involves certified tobacco treatment specialists and reports on data collected from them, indicating the involvement of human participants.",Yes,"The study investigates the use of LLM-generated messages for smoking cessation interventions, which is a deliberate attempt to persuade and change behaviors.",Yes,"The persuasive messages are delivered by Large Language Models (LLMs), including ChatGPT, OPT-13B, and OPT-30B, which meets the criterion of using generative AI for message delivery.",Yes,"The article is an empirical study consisting of three studies (Study 1, Study 2, and Study 3) that report on primary data, meeting the criterion for an empirical study.",Yes,"The primary persuasive goal of the study is smoking cessation, which is a healthcare intervention and not a commercial domain.",No
#3929,Include,The study involves human participants as it reports on the perceptions of articles produced by a state-affiliated propaganda site through a survey experiment.,Yes,"The study investigates a deliberate attempt to persuade through disinformation campaigns, which aims to shape or change attitudes and beliefs.",Yes,"The persuasive messages (disinformation) are delivered with the assistance of generative-AI tools, meeting the criterion of using LLM or similar technology for message delivery.",Yes,"The article is an empirical study reporting on primary data collected from a survey experiment and an analysis of the propaganda site's content, fitting the description of an empirical study.",Yes,"The primary persuasive goal of the study is not commercial (marketing, advertising, increasing sales) but rather focused on state-backed disinformation and propaganda.",No
#3930,Include,"The study involves human participants (N = 782) and reports on data collected from them, specifically in the context of first impressions tasks and interactions with generative AI.",Yes,"The study investigates a deliberate attempt to persuade or influence attitudes (specifically, stereotypical biases) using messages generated by an LLM, which aligns with the definition of intervention.",Yes,"The persuasive messages are delivered by Open AI's GPT3.5, a type of LLM, which meets the criterion of using generative AI for message delivery.",Yes,"The article is an empirical study consisting of four experiments, reporting on primary data collected from human participants, which fits the definition of an empirical study.",Yes,"The primary persuasive goal of the study is not commercial (e.g., marketing, advertising) but rather focuses on the amplification and reversal of stereotypical biases in human interaction with AI, which does not align with the exclusion criterion.",No
#3931,Include,"The study involves human participants and reports on data collected from them, as indicated by phrases such as 'participants in the male AI agent condition' and 'participants showed more positive attitudes toward the AI recommendations'.",Yes,"The study investigates a deliberate attempt to persuade, as it examines how AI recommendations affect human attitudes and behaviors, specifically looking at the impact of gender stereotypes on the persuasive effects of AI recommendations.",Yes,"The persuasive messages are delivered by an AI, specifically an artificial intelligence (AI) agent, which can be considered similar to an LLM or chatbot in the context of generating recommendations.",Yes,"The article is an empirical study, as it reports on primary data collected from an experiment involving human participants and AI agents, fitting the description of an empirical study type.",Yes,"The primary persuasive goal of the study is not commercial, as it focuses on the effects of gender stereotypes on human-AI interactions and the persuasive effects of AI recommendations in a general context, rather than aiming to increase sales or market specific products.",No
